slice,bin_left,bin_right,count
fold_1,-0.04499999999999996,-0.03999999999999995,19
fold_1,-0.03999999999999995,-0.03499999999999995,41
fold_1,-0.03499999999999995,-0.029999999999999943,55
fold_1,-0.029999999999999943,-0.02499999999999994,25
fold_1,-0.02499999999999994,-0.019999999999999934,40
fold_1,-0.019999999999999934,-0.01499999999999993,49
fold_1,-0.01499999999999993,-0.009999999999999926,58
fold_1,-0.009999999999999926,-0.004999999999999921,39
fold_1,-0.004999999999999921,8.326672684688674e-17,56
fold_1,8.326672684688674e-17,0.005000000000000088,54
fold_1,0.005000000000000088,0.010000000000000092,72
fold_1,0.010000000000000092,0.015000000000000097,74
fold_1,0.015000000000000097,0.0200000000000001,33
fold_1,0.0200000000000001,0.025000000000000105,42
fold_1,0.025000000000000105,0.03000000000000011,38
fold_1,0.03000000000000011,0.035000000000000114,33
fold_1,0.035000000000000114,0.04000000000000012,23
fold_1,0.04000000000000012,0.04500000000000012,18
fold_1,0.04500000000000012,0.05000000000000013,14
fold_1,0.05000000000000013,0.05500000000000013,0
fold_1,0.05500000000000013,0.06000000000000014,17
fold_1,0.06000000000000014,0.06500000000000014,11
fold_1,0.06500000000000014,0.07000000000000015,4
fold_1,0.07000000000000015,0.07500000000000015,7
fold_1,0.07500000000000015,0.08000000000000015,1
fold_1,0.08000000000000015,0.08500000000000016,8
fold_1,0.08500000000000016,0.09000000000000016,7
fold_1,0.09000000000000016,0.09500000000000017,0
fold_1,0.09500000000000017,0.10000000000000017,0
fold_2,-0.1,-0.095,6
fold_2,-0.095,-0.09,2
fold_2,-0.09,-0.08499999999999999,4
fold_2,-0.08499999999999999,-0.07999999999999999,4
fold_2,-0.07999999999999999,-0.07499999999999998,16
fold_2,-0.07499999999999998,-0.06999999999999998,24
fold_2,-0.06999999999999998,-0.06499999999999997,12
fold_2,-0.06499999999999997,-0.05999999999999997,1
fold_2,-0.05999999999999997,-0.054999999999999966,12
fold_2,-0.054999999999999966,-0.04999999999999996,6
fold_2,-0.04999999999999996,-0.04499999999999996,11
fold_2,-0.04499999999999996,-0.03999999999999995,8
